block;accuracy;group;zone_all;IA_DWELL_TIME_.;IA_FIRST_FIXATION_TIME;IA_FIRST_FIXATION_INDEX;IA_FIXATION_COUNT;IA_FIXATION_.;zone;subject
1;87,5;verbalization;bottom_distractor;0,36965;99;1,25;4;0,3433;distractor;ak7
1;87,5;verbalization;boy;0,0212125;2224;7;1,375;0,031975;label;ak7
1;87,5;verbalization;girl;0,11485;2855,2;7,2;2,375;0,1322375;label;ak7
1;87,5;verbalization;left_distractor;0,019975;4247;11,25;0,5;0,0333625;distractor;ak7
1;87,5;verbalization;rule_section;0,32435;1489,625;4,875;3,875;0,28055;relevant;ak7
2;100;verbalization;bottom_distractor;0,52795;78,875;1,25;3,375;0,461175;distractor;ak7
2;100;verbalization;boy;0,02095;2618,5;9,5;0,375;0,0366125;label;ak7
2;100;verbalization;girl;0,051075;2520,333333;6;0,75;0,09965;label;ak7
2;100;verbalization;left_distractor;;;;;0;distractor;ak7
2;100;verbalization;rule_section;0,2640125;1502,142857;4,714285714;1,875;0,2446875;relevant;ak7
3;100;verbalization;bottom_distractor;0,5111625;69,75;1,25;2,375;0,3861625;distractor;ak7
3;100;verbalization;boy;0,0299125;2763,5;6,5;0,5;0,0647375;label;ak7
3;100;verbalization;girl;0,1216375;2269;5,166666667;1;0,1773875;label;ak7
3;100;verbalization;left_distractor;;;;;0;distractor;ak7
3;100;verbalization;rule_section;0,2431125;1245;3,375;1,25;0,2015;relevant;ak7
1;62,5;control;bottom_distractor;0,0972875;333,7142857;2,285714286;1,25;0,0941125;distractor;am8_2i
1;62,5;control;boy;0,0939875;2838,6;9,2;3,5;0,093075;label;am8_2i
1;62,5;control;girl;0,07115;4488;12,25;1,625;0,0536125;label;am8_2i
1;62,5;control;left_distractor;0,3323375;1038,75;3,625;7,375;0,35455;distractor;am8_2i
1;62,5;control;rule_section;0,1148875;2008,25;6,375;3,375;0,16235;relevant;am8_2i
2;100;control;bottom_distractor;0,0875625;1776,2;5,8;0,75;0,0631125;distractor;am8_2i
2;100;control;boy;0,0379125;2188,75;6,25;0,75;0,0709875;label;am8_2i
