"experiment"	"subject"	"condition"	"conditionC"	"totalTrialNum"	"totalTrialNumC"	"blockNum"	"imageName"	"isRight"
"1"	"1A"	"p1105"	"high"	"0.5"	0	-11.5	1	"ha1.png"	1
"2"	"1A"	"p1105"	"high"	"0.5"	2	-9.5	1	"ha1.png"	1
"3"	"1A"	"p1105"	"high"	"0.5"	4	-7.5	1	"ha2.png"	0
"4"	"1A"	"p1105"	"high"	"0.5"	5	-6.5	1	"ha3.png"	1
"5"	"1A"	"p1105"	"high"	"0.5"	1	-10.5	1	"hb1.png"	1
"6"	"1A"	"p1105"	"high"	"0.5"	7	-4.5	1	"hb1.png"	1
"7"	"1A"	"p1105"	"high"	"0.5"	3	-8.5	1	"hb2.png"	1
"8"	"1A"	"p1105"	"high"	"0.5"	6	-5.5	1	"hb3.png"	1
"9"	"1A"	"p1105"	"high"	"0.5"	15	3.5	2	"ha1.png"	1
"10"	"1A"	"p1105"	"high"	"0.5"	13	1.5	2	"ha1.png"	0
"11"	"1A"	"p1105"	"high"	"0.5"	11	-0.5	2	"ha2.png"	1
"12"	"1A"	"p1105"	"high"	"0.5"	8	-3.5	2	"ha3.png"	1
"13"	"1A"	"p1105"	"high"	"0.5"	9	-2.5	2	"hb1.png"	1
"14"	"1A"	"p1105"	"high"	"0.5"	14	2.5	2	"hb1.png"	1
"15"	"1A"	"p1105"	"high"	"0.5"	10	-1.5	2	"hb2.png"	1
"16"	"1A"	"p1105"	"high"	"0.5"	12	0.5	2	"hb3.png"	0
"17"	"1A"	"p1105"	"high"	"0.5"	23	11.5	3	"ha1.png"	1
"18"	"1A"	"p1105"	"high"	"0.5"	17	5.5	3	"ha1.png"	1
"19"	"1A"	"p1105"	"high"	"0.5"	21	9.5	3	"ha2.png"	0
"20"	"1A"	"p1105"	"high"	"0.5"	20	8.5	3	"ha3.png"	1
"21"	"1A"	"p1105"	"high"	"0.5"	16	4.5	3	"hb1.png"	1
"22"	"1A"	"p1105"	"high"	"0.5"	19	7.5	3	"hb1.png"	1
"23"	"1A"	"p1105"	"high"	"0.5"	18	6.5	3	"hb2.png"	1
"24"	"1A"	"p1105"	"high"	"0.5"	22	10.5	3	"hb3.png"	1
"25"	"1A"	"p1106"	"low"	"-0.5"	7	-4.5	1	"ha1.png"	1
"26"	"1A"	"p1106"	"low"	"-0.5"	1	-10.5	1	"ha1.png"	1
"27"	"1A"	"p1106"	"low"	"-0.5"	2	-9.5	1	"ha2.png"	1
"28"	"1A"	"p1106"	"low"	"-0.5"	5	-6.5	1	"ha3.png"	1
"29"	"1A"	"p1106"	"low"	"-0.5"	0	-11.5	1	"hb1.png"	0
"30"	"1A"	"p1106"	"low"	"-0.5"	3	-8.5	1	"hb1.png"	1
"31"	"1A"	"p1106"	"low"	"-0.5"	4	-7.5	1	"hb2.png"	1
"32"	"1A"	"p1106"	"low"	"-0.5"	6	-5.5	1	"hb3.png"	1
"33"	"1A"	"p1106"	"low"	"-0.5"	10	-1.5	2	"ha1.png"	1
"34"	"1A"	"p1106"	"low"	"-0.5"	15	3.5	2	"ha1.png"	1
"35"	"1A"	"p1106"	"low"	"-0.5"	11	-0.5	2	"ha2.png"	1
"36"	"1A"	"p1106"	"low"	"-0.5"	9	-2.5	2	"ha3.png"	1
"37"	"1A"	"p1106"	"low"	"-0.5"	14	2.5	2	"hb1.png"	1
"38"	"1A"	"p1106"	"low"	"-0.5"	8	-3.5	2	"hb1.png"	1
"39"	"1A"	"p1106"	"low"	"-0.5"	13	1.5	2	"hb2.png"	1
"40"	"1A"	"p1106"	"low"	"-0.5"	12	0.5	2	"hb3.png"	1
"41"	"1A"	"p1106"	"low"	"-0.5"	20	8.5	3	"ha1.png"	1
"42"	"1A"	"p1106"	"low"	"-0.5"	21	9.5	3	"ha1.png"	1
"43"	"1A"	"p1106"	"low"	"-0.5"	22	10.5	3	"ha2.png"	1
"44"	"1A"	"p1106"	"low"	"-0.5"	19	7.5	3	"ha3.png"	1
"45"	"1A"	"p1106"	"low"	"-0.5"	17	5.5	3	"hb1.png"	1
"46"	"1A"	"p1106"	"low"	"-0.5"	18	6.5	3	"hb1.png"	1
"47"	"1A"	"p1106"	"low"	"-0.5"	16	4.5	3	"hb2.png"	1
"48"	"1A"	"p1106"	"low"	"-0.5"	23	11.5	3	"hb3.png"	1
"49"	"1A"	"p1119"	"high"	"0.5"	6	-5.5	1	"ha1.png"	1
"50"	"1A"	"p1119"	"high"	"0.5"	3	-8.5	1	"ha1.png"	1
"51"	"1A"	"p1119"	"high"	"0.5"	7	-4.5	1	"ha2.png"	1
"52"	"1A"	"p1119"	"high"	"0.5"	2	-9.5	1	"ha3.png"	1
"53"	"1A"	"p1119"	"high"	"0.5"	0	-11.5	1	"hb1.png"	0
"54"	"1A"	"p1119"	"high"	"0.5"	5	-6.5	1	"hb1.png"	1
